web-scraper-order,web-scraper-start-url,act,act-href,article,article-href,article_title,article_description
"1694596846-11","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 130 - Transfer of actionable claim","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-130","Section 130 of Transfer of Property Act - Transfer of actionable claim","(1) The transfer of an actionable claim [whether with or without consideration] shall be effected only by the execution of an instrument in writing signed by the transferor or his duly authorised agent, and shall be complete and effectual upon the execution of such instrument, and thereupon all the rights and remedies of the transferor, whether by way damages or otherwise, shall vest in the transferee, whether such notice of the transfer as is hereinafter provided be given or not :


Provided that every dealing with the debt or other actionable claim by the debtor or other person from or against whom the transferor would, but for such instrument of transfer as aforesaid, have been entitled to recover or enforce such debt or other actionable claim, shall (save where the debtor or other person is a party to the transfer or has received express notice thereof as hereinafter provided) be valid as against such transfer.


(2) The transferee of an actionable claim may, upon the execution of such instrument of transfer as aforesaid, sue or institute proceedings for the same in his own name without obtaining the transferor's consent to such suit or proceedings and without making him a party thereto.


Exception. - Nothing in this section applies to the transfer of a marine or fire policy of insurance [or affects the provisions of section 37 of the Insurance Act.]"
"1694596849-12","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 129 - Saving","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-129","Section 129 of Transfer of Property Act - Saving","Nothing in this Chapter relates to gifts of moveable property made in contemplation of death, or shall be deemed to affect, save as provided by section 123, any rule of Hindu or Buddhist law, or to effect any rule of Mohammedan Law.]"
"1694596852-13","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 128 - Universal donee","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-128","Section 128 of Transfer of Property Act - Universal donee","Subject to the provisions of section 127, where a gift consists of the donor's whole property, the donee is personally liable for all the debts due by [and liabilities of] the donor at the time of the gift to the extent of the property comprised therein."
"1694596855-14","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 127 - Onerous gifts","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-127","Section 127 of Transfer of Property Act - Onerous gifts","Where a gift is in the form of a single transfer to the same person of several things of which one is, and the others are not, burdened by an obligation, the donee can take nothing by the gift unless he accepts it fully.


Where a gift is in the form of two or more separate and independent transfers to the same person of several things, the donee is at liberty to accept one of them and refuse the others, although the former may be beneficial and the latter onerous.


Onerous gift to disqualified person. - A donee not competent to contract and accepting property burdened by any obligation is not bound by his acceptance. But if, after becoming competent to contract and being aware of the obligation, he retains the property given, he becomes so bound."
"1694596858-15","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 126 - When gift may be suspended or revoked","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-126","Section 126 of Transfer of Property Act - When gift may be suspended or revoked","The donor and donee may agree that on the happening of any specified event which does not depend on the will of the donor a gift shall be suspended or revoked ; but a gift which the parties agree shall be revocable wholly or in part, at the mere will of the donor, is void wholly or in part, as the case may be.


A gift may also be revoked in any of the cases (save want or failure of consideration) in which, if it were a contract, it might be rescinded.


Save as aforesaid, a gift cannot be revoked.


Nothing contained in this section shall be deemed to effect the rights of transferees for consideration without notice."
"1694596861-16","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 125 - Gift to several of whom one does not accept","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-125","Section 125 of Transfer of Property Act - Gift to several of whom one does not accept","A gift of a thing to two more donees, of whom one does not accept it, is void as to the interest which he would have taken had be accepted."
"1694596864-17","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 124 - Gift of existing and future property","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-124","Section 124 of Transfer of Property Act - Gift of existing and future property","A gift comprising both existing and future property is void as to the latter."
"1694596867-18","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 123 - Transfer how effected","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-123","Section 123 of Transfer of Property Act - Transfer how effected","For the purpose of making a gift of immovable property, the transfer must be effected by a registered instrument signed by or on behalf of the donor, and attested by at least two witnesses.


For the purpose of making a gift of moveable property, the transfer may be effected either by a registered instrument signed as aforesaid or by delivery.


Such delivery may be made in the same way as goods sold may be delivered.


Explanation. - The word ""attest"" has the same meaning in this section as in section 59."
"1694596870-19","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 122 - ""Gift"" defined","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-122","Section 122 of Transfer of Property Act - ""Gift"" defined","""Gift"" is the transfer of certain existing moveable or immovable property made voluntarily and without consideration, by one person, called the donor, to another, called the donee, and accepted by or on behalf of the donee.


Such acceptance must be made during the life-time of the donor Acceptance when to be made. and while he is still capable of giving.


If the donee dies before acceptance, the gift is void."
"1694596873-20","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 121 - Exchange of money","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-121","Section 121 of Transfer of Property Act - Exchange of money","On an exchange of money, each party thereby warrants the genuineness of the money given by him."
"1694596876-21","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 120 - Rights and liabilities of parties","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-120","Section 120 of Transfer of Property Act - Rights and liabilities of parties","Save as otherwise provided in this Chapter, each party has the rights and is subject to the liabilities of a seller as to that which he gives, and has the rights and is subject to the liabilities of a buyer as to that which he takes."
"1694596931-22","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 119 - Right of party deprived of thing received in exchange","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-119","Section 119 of Transfer of Property Act - Right of party deprived of thing received in exchange","If any party to an exchange or any person claiming through or under such party is by reason of any defect in the title of the other party deprived of the thing or any part of the thing received by him in exchange, then, unless a contrary intention appears from the terms of the exchange, such other party is liable to him or any person claiming through or under him for loss caused thereby, or at the option of the person so deprived, for the return of the thing transferred, if still in the possession of such other party or his legal representative or a transferee from him without consideration.]"
"1694596932-23","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 118 - ""Exchange"" defined","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-118","Section 118 of Transfer of Property Act - ""Exchange"" defined","When two persons mutually transfer the ownership of one thing for the ownership of another, neither thing nor both things being money only, the transaction is called an ""exchange"".


A transfer of property in completion of an exchange can be made only in manner provided for the transfer of such property by sale."
"1694596935-24","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 117 - Exemption of leases for agricultural purposes","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-117","Section 117 of Transfer of Property Act - Exemption of leases for agricultural purposes","None of the provisions of this Chapter apply to leases for agricultural purposes, except in so far as [Government] may by notification published in the Jammu and Kashmir Government Gazette, declare all or any of such provisions to be so applicable in the case of all or any of such leases, together with, or subject to, those of the local laws, if any, for the time being in force.


Such notification shall not take effect until the expiry of six months from the date of its publication."
"1694596938-25","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 116 - Effect of holding over","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-116","Section 116 of Transfer of Property Act - Effect of holding over","If a lessee or under-lessee of property remains in possession thereof after the determination of the lease granted to the lessee, and the lessor or his legal representative accepts rent from the lessee or under-lessee, or otherwise assents to his continuing in possession, the lessee is, in the absence of an agreement to the contrary, renewed from year to year, or from month to month, according to the purpose for which the property is leased, as specified in section 106."
"1694596941-26","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 115 - Effect of surrender and forfeiture on underleases","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-115","Section 115 of Transfer of Property Act - Effect of surrender and forfeiture on underleases","The surrender, express or implied, of a lease of immoveable property does not prejudice an under-lease of the property or any part thereof previously granted by the lessee, on terms and conditions substantially the same (except as regards the amount of rent) as those of the original lease ; but, unless the surrender is made for the purpose of obtaining a new lease, the rent payable by, and the contracts binding on, the under-lessee shall be respectively payable to and enforceable by the lessor.


The forfeiture of such a lease annuls all such under lessees, except where such forfeiture has been proceed by the lessor in fraud of the under-lessees, or relief against the forfeiture is granted under section 114."
"1694596944-27","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 114A - Relief against forfeiture in certain other cases","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-114A","Section 114A of Transfer of Property Act - Relief against forfeiture in certain other cases","Where a lease of immoveable property has determined by forfeiture for a breach of an express condition which provides that on breach thereof the lessor may re-enter, no suit for ejectment shall lie unless and until the lessor has served on the lessee a notice in writing-"
"1694596947-28","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 114 - Relief against forfeiture for nonpayment of rent","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-114","Section 114 of Transfer of Property Act - Relief against forfeiture for nonpayment of rent","Where a lease of immoveable property has determined by forfeiture for nonpayment of rent, and the lessor sues to eject the lessee, if, at the hearing of the suit, the lessee pays or tenders to the lessor the rent in arrear, together with interest thereon and his full costs of the suit, or gives such security as the Court thinks sufficient for making such payment within fifteen days, the Court may, in lieu of making a decree for ejectment pass an order relieving the lessee against the forfeiture ; and thereupon the lessee shall hold the property leased as if the forfeiture had not occurred."
"1694596950-29","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 113 - Waiver of notice to quit","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-113","Section 113 of Transfer of Property Act - Waiver of notice to quit","A notice given under section 111, clause (h), is waived, with the express or implied consent of the person to whom it is given, by any act on the part of the person giving it showing an intention to treat the lease as subsisting."
"1694596953-30","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 112 - Waiver of forfeiture","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-112","Section 112 of Transfer of Property Act - Waiver of forfeiture","A forfeiture under section 111, clause (g), is waived by acceptance of rent which has become due since the forfeiture, or by distress for such rent, or by any other act on the part of the lessor showing an intention to treat the lease as subsisting :


Provided that the lessor is aware that the forfeiture has been incurred :


Provided also that, where rent is accepted after the institution of a suit to eject the lessee on the ground of forfeiture, such acceptance is not a waiver."
"1694596956-31","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 111 - Determination of lease","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-111","Section 111 of Transfer of Property Act - Determination of lease","A lease of immoveable property determines,-"
"1694596959-32","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 110 - Exclusion of day on which term commences","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-110","Section 110 of Transfer of Property Act - Exclusion of day on which term commences","Where the time limited by a lease of immoveable property is expressed as commencing from a particular day in computing that time such day shall be excluded. Where no day of commencement is named, the time so limited begins from the making of the lease.


When the time so limited is a year or a number of years, in the Duration of lease for a year. absence of an express agreement to the contrary, the lease shall last during the whole anniversary of the day from which such time commences.


Where the time so limited is expressed to be terminable before its Option to determine lease. expiration, and the lease omits to mention at whose option it is so terminable, the lessee, and not the lessor, shall have such option."
"1694596962-33","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 109 - Rights of lessor's transferee","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-109","Section 109 of Transfer of Property Act - Rights of lessor's transferee","If the lessor transfers the property leased, or any part thereof, or any part of his interest therein, the transferee, in the absence of a contract to the contrary, shall possess all the rights, and, if the lessee so elects, be subject to all the liabilities of the lessor as to the property or part transferred so long as he is the owner of it ; but the lessor shall not, by reason only of such transfer, cease to be subject to any of the liabilities imposed upon him by the lease, unless the lessee elects to treat the transferee as the person liable to him :


Provided that the transferee is not entitled to arrears of rent due before the transfer, and that, if the lessee, not having reason to believe that such transfer has been made, pays rent to the lessor, the lessee shall not be liable to pay such rent over again to the transferee.


The lessor, the transferee and the lessee may determine what proportion of the premium or rent reserved by the lease is payable in respect of the part so transferred, and, in case they disagree, such determination may be made by any Court having jurisdiction to entertain a suit for the possession of the property leased."
"1694596965-34","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 108 - Rights and liabilities of lessor and lessee","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-108","Section 108 of Transfer of Property Act - Rights and liabilities of lessor and lessee","In the absence of a contract or local usage to the contrary, the lessor and lessee of immoveable property, as against one another, respectively, possess the rights and are subject to the liabilities mentioned in the rules next following or such of them as are applicable to the property leased :-"
"1694596968-35","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 107 - Leases how made","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-107","Section 107 of Transfer of Property Act - Leases how made","A lease of immovable property for any term exceeding one year, and reserving a yearly rent, exceeding rupees fifty can be made only by a registered instrument.


All other leases of immoveable property may be made either by a registered instrument or by oral agreement accompanied by delivery of possession :


Provided that [Government] may, from time to time, by notification in the Jammu and Kashmir Government Gazette, direct that leases of immoveable property, other than leases for any term exceeding one year, and reserving a yearly rent, exceeding rupees fifty or any class of such leases, may be made by unregistered instrument or by oral agreement without delivery of possession."
"1694596971-36","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 106 - Duration of certain leases in absence of written contract or local usage","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-106","Section 106 of Transfer of Property Act - Duration of certain leases in absence of written contract or local usage","In the absence of a contract or local law or usage to the contrary, a lease of immovable property for agricultural or manufacturing purpose shall be deemed to be a lease from year to year, terminable, on the part of either lessor or lessee, by six month's notice expiring with the end of a year of the tenancy ; and lease of immovable property for any other purposes shall be deemed to be a lessee from month to month, terminable, on the part of either lessor or lease, by fifteen day's notice expiring with the end of a month of the tenancy.


Every notice under this section must be in writing signed by or on behalf of the person giving it, and [either be sent by post to the party who is intended to be bound by it or be tendered or delivered personally to such party], or to one of his family or servants at his residence, or (if such tender or delivery is not practicable) affixed to a conspicuous part of the property."
"1694596974-37","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 105 - Lease defined","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-105","Section 105 of Transfer of Property Act - Lease defined","A lease of immovable property is a transfer of a right to enjoy such property, made for a certain time, express or implied, or in perpetuity, in consideration of price paid or promised, or of money, a share of crops, service or any other thing of value, to be rendered periodically or on specified occasions to the transferor by the transferee, who accepts the transfer on such terms.


Lessor, lessee, premium and rent defined. - The transferor is called the lessor, the transferee is called the lessee, the price is called the premium, and the money, share, service or other thing to be so rendered is called the rent."
"1694596977-38","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 104 - Power to make rules","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-104","Section 104 of Transfer of Property Act - Power to make rules","The High Court may, from time to time, make rules consistent with this Act for carrying out, in itself and in the Courts of Civil Judicature subject to its superintendence, the provisions contained in this Chapter."
"1694596980-39","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 103 - Notice, etc, to or by person incompetent to contract","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-103","Section 103 of Transfer of Property Act - Notice, etc, to or by person incompetent to contract","Where, under the provisions of this Chapter, a notice is to be served on or by, or a tender or deposit made or accepted or taken out of Court by, any person incompetent to contract, such notice may be served [on or by] or tender or deposit made, accepted or taken, by the legal curator of the property of such person ; but where there is no such curator, and it is requisite or desirable in the interests of such person that a notice should be served or a tender or deposit made under the provisions of this Chapter, application may be made to any Court in which a suit might be brought for the redemption of the mortgage to appoint a guardian ad litem for the purposes of serving or receiving service of such notice, or making or accepting such tender, or making or taking out of Court such deposit, and for the performance of all consequential acts which could or ought to be done by such person if he were competent to contract ; and the provisions of Order XXXII of the Code of Civil Procedure, shall, so far as may be, apply to such application and to the parties thereto and to the guardian appointed thereunder."
"1694596983-40","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 102 - Service or tender on or to agent","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-102","Section 102 of Transfer of Property Act - Service or tender on or to agent","Where the person on or to whom any notice or tender is to be served or made under this Chapter does not reside in the district in which the mortgaged property or some part thereof is situate, service or tender on or to an agent holding a general power of attorney from such person or otherwise duly authorised to accept such service or tender shall be deemed sufficient.


[Where no person or agent on whom such notice should be served can be found or is known] to the person required to serve the notice, the latter person may apply to any Court in which a suit might be brought for redemption of the mortgaged property, and such Court shall direct in what manner such notice shall be served, and any notice served in compliance with such direction shall be deemed sufficient :


[Provided that, in the case of a notice required by section 83, in the case of a deposit, the application shall be made to the Court in which the deposit has been made.]


[Where no person or agent to whom such tender should be made can be found or is known] to the person desiring to make the tender, the latter person may deposit [in any Court in which a suit might se brought for redemption of the mortgaged property] the amount sought to be tendered, and such deposit shall have the effect of a tender of such amount."
"1694596986-41","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 101 - No merger in case of subsequent encumbrances","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-101","Section 101 of Transfer of Property Act - No merger in case of subsequent encumbrances","Any mortgage of, or person having a charge upon, immovable property, or any transferee from such mortgagee or chargeholder, may purchase or otherwise acquire the rights in the property of the mortgagor or owner, as the case may be, without thereby causing the mortgage or charge to be merged as between himself and any subsequent mortgagee of, or person having a subsequent charge upon, the same property ; and no such subsequent mortgagee or chargeholder shall be entitled to foreclose or sell such property without redeeming the prior mortgage or charge, or otherwise than subject thereto.]"
"1694596989-42","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 100 - Charges","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-100","Section 100 of Transfer of Property Act - Charges","Where immovable property of one person is by act of parties or operation of law made security for the payment of money to another, and the transaction does not amount to a mortgage, the latter person is said to have a charge on the property; and all the provisions hereinbefore contained [which apply to a simple mortgage shall, so far as may be, apply to such charge.]


Nothing in this section applies to the charge of a trustee on the trust property for expenses properly incurred in the execution of his trust, [and, save as otherwise expressly provided by any law for the time being in force, no charge shall be enforced against any property in the hands of a person to whom such property has been transferred for consideration and without notice of the charge.]"
"1694596992-43","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 99 - Omitted","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-99","Section 99 of Transfer of Property Act - Omitted","Omitted"
"1694596995-44","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 98 - Rights and liabilities of parties to anomalous mortgages","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-98","Section 98 of Transfer of Property Act - Rights and liabilities of parties to anomalous mortgages","[an anomalous mortgage], the rights and liabilities of the parties shall be determined by their contract as evidenced in the mortgage-deed, and, so far as such contract does not extend by local usage."
"1694596998-45","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 97 - Omitted","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-97","Section 97 of Transfer of Property Act - Omitted","Omitted"
"1694597001-46","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 96 - Omitted","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-96","Section 96 of Transfer of Property Act - Omitted","Omitted"
